,Car_Price,Car_Year,Car_Kms,Car_Model,Car_Fuel,Car_Location,Car_Company
6143,685000,2016,69380,Honda City V Diesel,Diesel,Mumbai,Honda
6144,445000,2016,39500,Maruti Suzuki Celerio VXi AMT ABS,Petrol,Mumbai,Maruti Suzuki
6145,925000,2012,74460,BMW 3 Series 320d Prestige,Diesel,Mumbai,BMW
6146,4550000,2017,42442,Mercedes-Benz GLE 250 d,Diesel,Mumbai,Mercedes-Benz
6147,1900000,2021,3000,Mahindra Thar LX 4-STR Hard Top Petrol AT,Petrol,Mumbai,Mahindra
6148,1550000,2011,107000,Audi Q7 3.0 TDI quattro Premium Plus,Diesel,Mumbai,Audi
6149,1100000,2019,13000,Maruti Suzuki Vitara Brezza ZDi Plus AGS,Diesel,Mumbai,Maruti Suzuki
6150,1045000,2020,36000,Maruti Suzuki Vitara Brezza ZDi,Diesel,Mumbai,Maruti Suzuki
6151,475000,2017,33000,Tata Tiago Revotron XZA ,Petrol,Mumbai,Tata
6152,951000,2016,19511,Hyundai Creta 1.6 SX Plus Petrol,Petrol,Thane,Hyundai
6153,1258000,2011,66700,Mercedes-Benz C-Class 200 CGI Avantgarde,Petrol,Mumbai,Mercedes-Benz
6154,500000,2016,45027,Honda Jazz S MT ,Petrol,Thane,Honda
6155,365000,2016,22625,Renault Pulse RxL Petrol ,Petrol,Mumbai,Renault
6156,2095000,2021,7500,Hyundai Creta SX (O) 1.5 Diesel Automatic,Diesel,Mumbai,Hyundai
6157,415000,2011,88258,Mahindra Scorpio LX BS-IV,Diesel,Thane,Mahindra
6158,911000,2019,11234,Ford EcoSport Titanium 1.5L Ti-VCT,Petrol,Thane,Ford
6159,1015000,2013,92000,Mercedes-Benz C-Class 220 BlueEfficiency,Diesel,Mumbai,Mercedes-Benz
6160,745000,2017,21451,Honda Jazz V AT Petrol,Petrol,Mumbai,Honda
6161,565000,2017,44329,Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6162,510000,2015,48286,Maruti Suzuki Swift Dzire ZXI,Petrol,Mumbai,Maruti Suzuki
6163,749000,2018,24975,Honda WR-V S MT Petrol,Petrol,Mumbai,Honda
6164,1485000,2016,59758,Toyota Innova Crysta 2.4 G 7 STR ,Diesel,Mumbai,Toyota
6165,699000,2017,16540,Maruti Suzuki Baleno Zeta 1.2 AT,Petrol,Mumbai,Maruti Suzuki
6166,425000,2016,10046,Honda Brio S MT,Petrol,Mumbai,Honda
6167,595000,2016,41280,Hyundai Xcent S AT 1.2 (O),Petrol,Mumbai,Hyundai
6168,475000,2015,29390,Volkswagen Polo Highline1.2L (P),Petrol,Mumbai,Volkswagen
6169,749000,2017,28771,Honda WR-V VX MT Petrol,Petrol,Mumbai,Honda
6170,340000,2013,44380,Hyundai Grand i10 Sportz 1.2 Kappa VTVT ,Petrol,Mumbai,Hyundai
6171,265000,2010,24000,Maruti Suzuki Ritz VXI BS-IV,Petrol,Mumbai,Maruti Suzuki
6172,925000,2012,74460,BMW 3 Series 320d Prestige,Diesel,Mumbai,BMW
6173,675000,2016,58000,Skoda Rapid Style 1.5 TDI AT,Diesel,Mumbai,Skoda
6174,685000,2016,69380,Honda City V Diesel,Diesel,Mumbai,Honda
6175,445000,2016,39500,Maruti Suzuki Celerio VXi AMT ABS,Petrol,Mumbai,Maruti Suzuki
6176,4550000,2017,42442,Mercedes-Benz GLE 250 d,Diesel,Mumbai,Mercedes-Benz
6177,215000,2016,2814,Tata Nano Twist XT,Petrol,Mumbai,Tata
6178,1550000,2011,107000,Audi Q7 3.0 TDI quattro Premium Plus,Diesel,Mumbai,Audi
6179,1900000,2021,3000,Mahindra Thar LX 4-STR Hard Top Petrol AT,Petrol,Mumbai,Mahindra
6180,645000,2015,44000,Ford EcoSport Titanium 1.5L Ti-VCT AT,Petrol,Mumbai,Ford
6181,1125000,2019,19000,Maruti Suzuki Ertiga ZDi Plus 1.5 Diesel,Diesel,Mumbai,Maruti Suzuki
6182,1295000,2012,80000,BMW 3 Series 320d Luxury Line,Diesel,Mumbai,BMW
6183,951000,2016,19511,Hyundai Creta 1.6 SX Plus Petrol,Petrol,Thane,Hyundai
6184,4195000,2017,25000,Mercedes-Benz E-Class E 220d Expression ,Diesel,Mumbai,Mercedes-Benz
6185,1875000,2016,61000,Audi Q3 35 TDI Premium + Sunroof,Diesel,Mumbai,Audi
